places,hotel_id,new_feed_place
"Spain,Galicia,Province_Of_Corunna,A_Coruna",1040796,A_Coruna
"Spain,Galicia,Province_Of_Corunna,Dodro",1040805,Dodro
"Spain,Galicia,Province_Of_Corunna,A_Coruna",1040808,A_Coruna
"Spain,Galicia,Province_Of_Corunna,Sada_Galicia",1040811,Sada_Galicia
"Spain,Galicia,Province_Of_Corunna,A_Coruna",1040813,A_Coruna
"Spain,Galicia,Province_Of_Corunna,A_Coruna",1040814,A_Coruna
"Spain,Galicia,Province_Of_Corunna,A_Coruna",1040816,A_Coruna
"Spain,Galicia,Province_Of_Corunna,A_Coruna",1040819,A_Coruna
"Spain,Galicia,Province_Of_Corunna,Oleiros",1040820,Oleiros
"Spain,Galicia,Province_Of_Corunna,A_Coruna",1040823,A_Coruna
"Spain,Galicia,Province_Of_Corunna,A_Coruna",1040825,A_Coruna
"Germany,North_Rhine_Westphalia,Aachen",1040834,Aachen
"Germany,North_Rhine_Westphalia,Aachen",1040836,Aachen
"Germany,North_Rhine_Westphalia,Aachen",1040837,Aachen
"Germany,North_Rhine_Westphalia,Aachen",1040838,Aachen
"Germany,North_Rhine_Westphalia,Aachen",1040839,Aachen
"Germany,North_Rhine_Westphalia,Aachen",1040840,Aachen
"Germany,North_Rhine_Westphalia,Aachen",1040841,Aachen
"Spain,Galicia,Province_Of_Corunna,A_Coruna",1040818,A_Coruna
"Germany,North_Rhine_Westphalia,Aachen",1040844,Aachen
"Germany,North_Rhine_Westphalia,Aachen",1040845,Aachen
"Spain,Galicia,Province_Of_Corunna,Oleiros,Montrove",1040821,Oleiros
"Germany,North_Rhine_Westphalia,Aachen",1040847,Aachen
"Germany,North_Rhine_Westphalia,Aachen",1040835,Aachen
"Germany,North_Rhine_Westphalia,Aachen",1040849,Aachen
